Ruff-N-Smooth,Afrobeats,afrobeat,0.788,0.9,6,-2.741,1,0.0562,0.166,0,0.0855,0.898,129.006,audio_features,0AkdUcE2U1mspkA83fpQTN,spotify:track:0AkdUcE2U1mspkA83fpQTN,https://api.spotify.com/v1/tracks/0AkdUcE2U1mspkA83fpQTN,https://api.spotify.com/v1/audio-analysis/0AkdUcE2U1mspkA83fpQTN,244645,4,
DJ Flex,Eggplant Afrobeat (feat. AStar & EDouble),afrobeat,0.887,0.728,1,-5.906,1,0.0567,0.00537,0.421,0.0454,0.686,138.012,audio_features,3BfwSBhhhYi3KEonAOZkKQ,spotify:track:3BfwSBhhhYi3KEonAOZkKQ,https://api.spotify.com/v1/tracks/3BfwSBhhhYi3KEonAOZkKQ,https://api.spotify.com/v1/audio-analysis/3BfwSBhhhYi3KEonAOZkKQ,119184,4,
Gecko Turner,Afrobeatnik?,afrobeat,0.883,0.714,9,-4.783,1,0.0568,0.308,0.00011,0.0698,0.801,113.055,audio_features,7cjKpSNMih8hn8pyPd2XaU,spotify:track:7cjKpSNMih8hn8pyPd2XaU,https://api.spotify.com/v1/tracks/7cjKpSNMih8hn8pyPd2XaU,https://api.spotify.com/v1/audio-analysis/7cjKpSNMih8hn8pyPd2XaU,299467,4,
AfroBeat,Summer Nights,afrobeat,0.781,0.629,2,-8.725,1,0.0371,0.186,0.000917,0.112,0.65,123.042,audio_features,6yURyAPICP0YcXW12AVEqW,spotify:track:6yURyAPICP0YcXW12AVEqW,https://api.spotify.com/v1/tracks/6yURyAPICP0YcXW12AVEqW,https://api.spotify.com/v1/audio-analysis/6yURyAPICP0YcXW12AVEqW,219533,4,
Zack Knight,Bills (Afrobeats Remix),afrobeat,0.869,0.75,9,-5.462,0,0.0688,0.17,0,0.062,0.764,110.055,audio_features,0Rx5fjG8RQQhbFaYfJ6twF,spotify:track:0Rx5fjG8RQQhbFaYfJ6twF,https://api.spotify.com/v1/tracks/0Rx5fjG8RQQhbFaYfJ6twF,https://api.spotify.com/v1/audio-analysis/0Rx5fjG8RQQhbFaYfJ6twF,168000,4,
DJ Flex,Dip Dop Afrobeat,afrobeat,0.86,0.814,5,-3.555,0,0.0569,0.0382,0.581,0.133,0.51,135.045,audio_features,6UnevBG1cAM5XE3mZLJGWg,spotify:track:6UnevBG1cAM5XE3mZLJGWg,https://api.spotify.com/v1/tracks/6UnevBG1cAM5XE3mZLJGWg,https://api.spotify.com/v1/audio-analysis/6UnevBG1cAM5XE3mZLJGWg,135192,4,
AfroBeat,Greased Lightnin',afrobeat,0.608,0.793,8,-6.452,1,0.0712,0.00677,0.282,0.127,0.953,161.862,audio_features,5RSw4JioXMdCqeVQZfbwHk,spotify:track:5RSw4JioXMdCqeVQZfbwHk,https://api.spotify.com/v1/tracks/5RSw4JioXMdCqeVQZfbwHk,https://api.spotify.com/v1/audio-analysis/5RSw4JioXMdCqeVQZfbwHk,192067,4,
Thanks Joey,COCA (Afrobeat) - Remix,afrobeat,0.945,0.856,11,-6.693,1,0.176,0.0113,0.00441,0.382,0.887,116.004,audio_features,1dnm0dJamnpWLQAZkyrFL3,spotify:track:1dnm0dJamnpWLQAZkyrFL3,https://api.spotify.com/v1/tracks/1dnm0dJamnpWLQAZkyrFL3,https://api.spotify.com/v1/audio-analysis/1dnm0dJamnpWLQAZkyrFL3,146897,4,
Big Shaq,Man's Not Hot - P Montana Afrobeat Mix,afrobeat,0.887,0.944,0,-3.759,1,0.198,0.0483,0.0406,0.0767,0.556,135.006,audio_features,0fDHEmNfIC9CN6EsGl4Tw5,spotify:track:0fDHEmNfIC9CN6EsGl4Tw5,https://api.spotify.com/v1/tracks/0fDHEmNfIC9CN6EsGl4Tw5,https://api.spotify.com/v1/audio-analysis/0fDHEmNfIC9CN6EsGl4Tw5,203778,4,
Tony Allen,Crazy Afrobeat,afrobeat,0.823,0.86,6,-6.073,0,0.0926,0.00404,0.662,0.199,0.493,112.069,audio_features,3FOiOpfvyF4hU0ZLGnXEOA,spotify:track:3FOiOpfvyF4hU0ZLGnXEOA,https://api.spotify.com/v1/tracks/3FOiOpfvyF4hU0ZLGnXEOA,https://api.spotify.com/v1/audio-analysis/3FOiOpfvyF4hU0ZLGnXEOA,293627,4,
BM,Rosalina (Afrobeat Remix),afrobeat,0.705,0.913,9,-4.185,1,0.0638,0.172,0,0.1,0.966,112.193,audio_features,19v536q9vol1xVGUD2qDDG,spotify:track:19v536q9vol1xVGUD2qDDG,https://api.spotify.com/v1/tracks/19v536q9vol1xVGUD2qDDG,https://api.spotify.com/v1/audio-analysis/19v536q9vol1xVGUD2qDDG,253532,4,
Abayomy Afrobeat Orquestra,Malunguinho,afrobeat,0.715,0.892,1,-4.875,1,0.118,0.368,0.0222,0.322,0.968,96.937,audio_features,0mVuc9r3t1UZccM6CT3Tdo,spotify:track:0mVuc9r3t1UZccM6CT3Tdo,https://api.spotify.com/v1/tracks/0mVuc9r3t1UZccM6CT3Tdo,https://api.spotify.com/v1/audio-analysis/0mVuc9r3t1UZccM6CT3Tdo,457053,4,
